Leonard Nimoy;2
Mamoru Oshii;5
Tobe Hooper;1
George Cukor;2
Mike Leigh;1
Roy Andersson;1
George Armitage;2
Jay Chandrasekhar;1
Godfrey Reggio;1
Jim Henson;2
Douglas Sirk;1
Werner Herzog;4
Katsuhiro Otomo;2
Michael Mann;7
Andrew Haigh;1
Ari Folman;1
Rowdy Herrington;1
Jeremy Saulnier;1
Jerome Robbins and Robert Wise;3
Robert Rodriguez;1
Ridley Scott;37
John Sturges;2
Vera Chytilova;1
Jacques Tati;2
Guillermo del Toro;13
Chen Kaige;1
Kevin Smith;2
Carol Reed;9
Justin Lin;1
Lana and Lilly Wachowski;9
John Mackenzie;1
Agnes Varda;1
Harmony Korine;1
Jim Abrahams and David and Jerry Zucker;8
Guel Arraes;1
Pierre Schoendoerffer;1
Park Chan-wook;2
Jon Favrae;1
Zacharias Kunuk;1
Damian Chazelle;2
Paul Thomas Anderson;26
Istvan Szabo;1
Harold Ramis;3
Shirley Clarke;1
Buster Keaton;1
Robert Wiene;1
Zhang Yimou;1
Lee Unkrich;2
Douglas Trumbull;1
Tom Holland;1
Gus Van Sant;2
Doug Liman;1
Stephen Frears;2
Jonathan Demme;6
John Cameron Mitchell;3
Alejandro Jodorowsku;1
Xavier Dolan;1
Elio Petri;1
Michael Lehman;1
Ava DuVernay;1
Gareth Edwards;2
Frank Borzage;1
Satoshi Kon;4
Pedro Almodovar;3
Nathan Greno and Byron Howard;1
Dean Parisot;1
Shusuke Kaneko;1
Danny Boyle;10
Sam Raimi;8
Robert Redford;1
Costa-Gavros;1
Scott Speer;1
Abel Gance;1
Robert Stevenson;2
Darren Aronofsky;3
Kathryn Bigelow;1
Paul Greenglass and Doug Liman;1
Peter Bogdanovich;3
Alfonso Cuaron;24
Jacques Tourneru;3
Stephen Chow;3
Wolf Rilla;1
Chris Marker;2
Bela Tarr;2
David Lynch;30
Eli Roth;2
Leo McCarey;5
John Hillcoat;1
Arthur Hiller;1
Quentin Tarantino;46
Ernst Lubitsch;2
Ondi Timoner;1
Jim Abrahams;2
Hirokazu Koreeda;1
Charlie Kaufman;3
Emile Ardolino;1
Frank Oz;3
Sarah Polley;1
Don Coscarell;1
Ron Clements and John Musker;7
Nobuhiko Obayashi;5
Prachya Pinkaew;1
John McTiernan;27
Todd Solondz;1
Yorgos Lanthimos;1
Richard Fleischer;1
James Foley;1
Garry Marshall;1
Atom Egoyan;1
Elem Klimov;2
Billy Wilder;17
Terrence Malick;8
Brian Henspn;2
Gil Junger;3
Alex Proyas;4
Steve Buscemi;1
Mary Harron;1
Paul Feig;1
Daniel Kwan and Daniel Scheinert;1
Amy Heckerling;9
Martin Campbell;2
Joseph Sargent;1
Clyde Bruckman and Buster Keaton;1
Richard Lester;5
Alexander Mackendrick;1
Jean-Marie Straub and Daniele Huillet;1
David Ayer;1
Tom Hanks;1
W.S. Van Dyke;1
Alan Parker;1
Paul King;1
Clint Eastwood;1
Rian Johnson;7
Rainer Werner Fassbinder;1
Hirokazu Koreeada;1
Ivan Reitman;3
Seijun Suzuki;1
Phil Lord and Chris Miller;3
Mariano Llinas;1
Luc Besson;8
Curtis Hanson;4
Raoul Walsh;1
Joseph L. Mankiewicz;2
Jackie Chan;1
Michael Haneke;1
Ronald Neame;1
Anthony Harcey;1
Lucio Fulci;1
Ezra Edelman;1
Spike Lee;9
Walter Murch;1
John G. Avilden;2
Stephen Herek;2
Don Hertzfeld;4
Anthony Minghella;1
Arthur Penn;1
Edgar Wright;30
Hayao Miyizaki;29
Alex Cox;5
George Pan Cosmatos;1
David Byrne;1
Michael Powell and Emeric Pressburger;2
Blake Edwards;2
Fritz Lang;6
Gaspar Noe;1
Mark Waters;4
Jeff Tremaine;1
Nelson Shin;1
Stanley Donen and Gene Kelly;6
Walter Hill;1
Ingmar Bergman;5
George Lucas;28
James Mangold;3
James Gunn;4
Maren Ade;1
Penelope Spheeris;3
Gene Saks;1
David Fincher;20
Michael Curtiz;28
Gina Prince-Blythewood;1
Ken Burns;1
Lynne Ramsay;1
Kenji Mizoguchi;1
Adrian Lyne;1
Michael Schultz;1
Masaki Kobayashi;1
Lasse Halltrom;1
Thom Anderson;1
Andrew Stanton;4
Steve Miner;1
Robert Zemeckis;30
Alfred Hitchcock;38
Rob Reiner;27
Henry Koster;1
Fruit Chan;1
Matt Reeves;1
Sidney Lumet;6
Dan Trachtenberg;1
Wolfgang Reitherman;2
Jim Jarmusch;2
Michael Curtiz and William Keighley;2
Bobby and Peter Farrelly;2
Claude Lanzmann;2
Apichatpong Weerasethakul;2
John Hughes;5
Isao Takahata;1
Trent Carlson;1
Eric Radomski and Bruce Timm;4
Kim Ki-duk;1
Jennie Livingston;1
Brian de Palma;1
Terry Jones;6
S.S. Rajamouli;1
Andrei Tarkovsky;9
Wes Craven;2
Charles Crichton;1
Don Siegel;2
Adam McKay;3
Steven Soderbergh;4
John Ford;4
Bob Fosse;2
Stanley Kramer;1
Victor Fleming;6
Greg Mottola;2
Jamie Uys;1
Colin Higgins;1
Charles Laughton;6
Nicolas Winding Refn;4
Clyde Geronimi;1
Gerald Kargl;1
Anthony and Joe Russo;8
David Wain;2
Takashi Miike;3
Gary Trousdale and Kirk Wise;9
Mel Gibson;1
Wolfgang Peterson;1
Lindsay Anderson;2
W.D. Richter;1
Juzo Itami;1
Baz Luhrmann;2
Brenda Chapman, Steve Hickner, and Simon Wells;1
Roy Ward Baker;1
Sergei Eisenstein;1
Joss Whedon;7
Don Hertzfeldt;1
George A. Romero;6
John Michael McDonagh;1
Irvin Kershner;34
Henry Selick;2
Robert Wise;3
Alan Wade;1
Tom Tyker and Lana and Lilly Wachowski;4
Andrew Davis;1
Martin Scorsese;38
Steve James;1
Masaaki Yuasa;1
Tony Scott;1
Ching Siu-Tung;1
Cameron Crowe;4
Terry Gilliam and Terry Jones;12
Tim Burton;7
Irvin Kershner, George Lucas, and Richard Marquand;1
Mitch Glazer;1
Woody Allen;1
Lars von Trier;3
Drew Goddard;4
Wim Wenders;2
Ben Sharpsteen;3
John Milius;1
Luca Guadagino;1
Mike Nichols;7
Andrzej Wajda;2
Carl Theodor Dreyer;5
Philip Kaufman;1
Judd Apatow;1
Orson Welles;25
Tarsem Singh;3
Carl Reiner;2
John Huston;4
Philippe De Broca;1
Joe Dante;1
James Cameron;29
Roger Allers and Rob Minkoff;4
Alan J. Pakula;1
Paul Bartel;1
Milos Forman;5
Federico Felliniy;1
Paul Verhoeven;14
Mike Mills;1
Michael Patrick Jann;2
Nicholas Meyer;9
F.W. Murnau;1
Joseph Konsinski;1
Peter Weir;11
Noah Baumbach;5
Ang Lee;5
Peter Medak;2
Steven de Souza;1
Bruce McDonald;1
Taika Waititi;3
Jennifer Kent;1
John Cassavetes;2
Gillian Armstrong;1
David Leitch and Chad Stahelski;1
Duncan Jones;3
John Patrick Shanley;1
Kinka Usher;1
Michel Gondry;22
Howard Hawks;15
Asghar Farhadi;1
Barry Jenkins;1
Allan Arkush;1
Jacques Demy;2
Mel Brooks;13
Jean-Luc Godard;4
Rich Moore;1
Franklin J. Schaffner;1
Simon Wincer;1
Terry Gilliam;14
Charles Barton;1
Dean DeBlois and Chris Sanders;1
Philipe de Broca;2
Hideaki Anno and Kazuya Tsurumaki;2
Ted Kotcheff;1
Denis Villeneuve;7
Nicolas Roeg;1
Leslie H. Martinson;1
Cy Endfield;2
William Friedkin;4
Jean-Francois Richet;1
Jean Renoir;2
George Clooney;1
Jonathan Dayton and Valerie Faris;1
Marcel Carne;1
Joel and Ethan Coen;80
Scott Sanders;3
William Wyler;3
Dee Rees;1
Hou Hsiao-hsien;1
Clive Barker;1
James McTeigue;1
Gillo Pontecorvo;7
George Miller;31
Mamoru Hosoda;1
Norman Jewison;1
Akira Kurosawa;30
Richard Marquand;4
John Landis;7
Alain Resnais;2
Richard C. Sarafian;1
John Woo;2
Tim Heidecker and Eric Wareheim;1
Steven Spielberg;70
Mike Hodges;1
Paul Greenglass;1
Jeremiah Chechick;1
Walter Lang;1
George Seaton;1
Richard Donner;5
John Hyams;1
Stabley Kubrick;1
Nate Cash;1
David Lean;15
Federico Fellini;7
Hrishikesh Mukherjee;1
Stanley Kubrick;59
Ulu Grosbard;1
Robert Mulligan;1
Sergio Leone;16
Francois Truffaut;2
Giuseppe Tornatore;3
David Hand;2
Andy Tennant;1
Wong Kar-Wai;6
James L. Brooks;1
Christopher Nolan;37
Terry Zwigoff;7
Frank Capra;7
Jan Sverak;1
Dennis Dugan;1
Guy Ritchie;1
Phil Alden Robinson;1
Jim Hosking;1
Ishiro Honda;3
Vittorio De Sica;3
Mark Dindal;2
Hiroyuki Imaishi;1
Frank Darabont;7
Leon Gast;1
Lawrence Kasdan;1
Kelly Reichadrt;1
Hamilton Luske and Ben Sharpsteen;1
Fernando Meirelles;6
Wisit Sasanatieng;1
Kinji Fukasaku;1
Mira Nair;1
Robert Moore;1
Benh Zeitlin;1
Yasujiro Ozu;6
Spike Jonze;8
Gary Ross;2
Koki Mitani;1
Nacho Vigalondo;1
Steve Kloves;1
Richard Rush;1
Hal Ashby;4
Morton DaCosta;1
Bob Clark;2
Wes Anderson;29
Marleen Gorris;1
Whit Stillman;2
Jennifer Yuh Nelson;1
Jean-Pierre Jeunet;1
Brad Bird;16
Lenny Abrahamson;2
Sylvain Chomet;2
Ron Underwood;1
Edward Yang;2
Barbara Kopple;1
James Frawley;2
Marc Forster;2
Bryan Bertino;1
Ken Russell;2
Roberto Rossellini;2
Robert Benton;1
Christopher Guest;5
George Roy Hill;6
Trey Parker;1
Liu Chia-Liang;1
Jonathan Lynn;4
Robert Altman;4
Sam Wood;2
Michael Winterbottom;2
David Zellner;1
Peter Jackson;30
Tomas Alfredson;3
Guy Hamilton;1
Jemaine Clement and Taika Waititi;3
Gary Winick;1
Henri-Georges Clouzot;1
Mike Judge;1
John Frankenheimer;1
Gareth Evans;3
Tony Bancroft and Barry Cook;1
Steve Box and Nick Park;1
Sergio Corbucci;1
Clyde Geronimi, Hamilton Luske, and Wolfgang Reitherman;2
Sofia Coppola;2
Patty Jenkins;1
Patrick Read Johnson;1
John Lasseter;4
Bernardo Bertolucci;2
Georges Lautner;1
Manoel de Oliveira;1
Todd Haynes;1
Zack Snyder;1
Akiva Schaffer;3
Sean Baker;1
Alex Garland;1
Sarah Smith;1
David Mirkin;1
David Cronenberg;6
Shane Carruth;1
Richard Linklater;11
Tony Randel;1
Robert Luketic;2
Jean-Pierre Melville;4
Bill Forsyth;1
Roberto Benigni;1
Bruce Beresford;1
Elia Kazan;3
Stuart Rosenberg;3
John Carpenter;37
Edmund Goulding;1
Robert Rodriguez and Quentin Tarantino;1
John Schlesinger;2
John Waters;3
Francis Ford Coppola;44
Michelangelo Antonioni;2
Clyde Geronimi, Wilfrid Jackson, and Hamilton Luske;1
George Pal;1
Andy Fickman;1
F. Gary Gray;1
Roman Polanski;7
Dan Aykroyd;1
Charles Chaplin;4
David O. Russell;1
Jim Abrahams and David Zucker and Jerry Zucker;1
David Gordon Green;1
Monte Hellman;1
Sam Peckinpah;4
Merian C. Cooper and Ernest B. Shoedsack;2
Pete Docter;5
Alejandro Gonzalez Inarritu;4
Martin McDonagh;8
Andrew Niccol;1
Steve McQueen;2
